['3057122', '20', '121']
['3057136', '20', '121']
['3057144', '20', '121']
['3057151', '20', '121']
['3057165', '20', '121']
['3057172', '20', '121']
['3057187', '20', '121']
['3057194', '20', '121']
['3057201', '20', '121']
['3057216', '20', '121']
['3057223', '20', '121']
['3057237', '20', '121']
['3057244', '20', '121']
['3057251', '20', '120']
['3057266', '19', '120']
['3057273', '19', '120']
['3057287', '20', '120']
['3057295', '20', '120']
['3057302', '20', '120']
['3057316', '20', '120']
['3057324', '20', '120']
['3057338', '20', '120']
['3057345', '20', '120']
['3057352', '20', '120']
['3057367', '20', '120']
['3057374', '20', '120']
['3057388', '20', '120']
['3057396', '20', '120']
['3057403', '20', '120']
['3057417', '21', '120']
['3057424', '21', '120']
['3057439', '21', '120']
['3057446', '21', '120']
['3057453', '21', '120']
['3057468', '21', '120']
['3057475', '21', '120']
['3057489', '21', '120']
['3057496', '21', '120']
['3057503', '21', '120']
['3057518', '21', '120']
['3057525', '21', '120']
['3057532', '21', '120']
['3057547', '21', '120']
['3057554', '21', '120']
['3057568', '21', '120']
['3057575', '21', '120']
['3057590', '21', '120']
['3057597', '21', '120']
['3057604', '21', '121']
['3057619', '21', '121']
['3057626', '21', '121']
['3057640', '20', '121']
['3057648', '20', '121']
['3057655', '20', '121']
['3057669', '20', '121']
['3057676', '20', '121']
['3057683', '20', '121']
['3057698', '20', '121']
['3057705', '20', '121']
['3057719', '20', '121']
['3057726', '21', '121']
['3057734', '21', '121']
['3057748', '21', '121']
['3057755', '21', '121']
['3057770', '21', '121']
['3057777', '21', '121']
['3057784', '21', '121']
['3057799', '21', '121']
['3057806', '21', '121']
['3057820', '21', '120']
['3057827', '21', '121']
['3057834', '21', '121']
['3057849', '21', '120']
['3057856', '21', '120']
['3057871', '21', '120']
['3057878', '21', '120']
['3057885', '21', '120']
['3057899', '21', '120']
['3057906', '21', '120']
['3057921', '21', '120']
['3057928', '21', '120']
['3057935', '21', '120']
['3057950', '21', '120']
['3057957', '21', '120']
['3057971', '21', '120']
['3057978', '21', '120']
['3057986', '21', '120']
['3058000', '21', '120']
['3058007', '21', '120']
['3058022', '21', '120']
['3058029', '21', '120']
['3058036', '21', '120']
['3058050', '22', '120']
['3058058', '21', '120']
['3058072', '22', '120']
['3058079', '22', '120']
['3058086', '22', '120']
['3058101', '21', '120']
['3058108', '21', '120']
['3058122', '21', '120']
['3058130', '22', '120']
['3058137', '22', '120']
['3058151', '22', '120']
['3058158', '22', '120']
['3058173', '22', '120']
['3058180', '22', '120']
['3058187', '22', '120']
['3058201', '22', '120']
['3058209', '22', '120']
['3058216', '22', '120']
['3058230', '22', '120']
['3058238', '22', '120']
['3058252', '22', '120']
['3058259', '22', '120']
['3058266', '22', '120']
['3058281', '22', '120']
['3058288', '22', '120']
['3058302', '22', '120']
['3058309', '22', '120']
['3058317', '22', '120']
['3058331', '22', '120']
['3058338', '22', '120']
['3058353', '22', '120']
['3058360', '22', '120']
['3058367', '22', '120']
['3058381', '23', '120']
['3058389', '23', '120']
['3058403', '23', '120']
['3058410', '23', '120']
['3058417', '23', '120']
['3058432', '23', '120']
['3058439', '23', '120']
['3058453', '23', '120']
['3058461', '22', '120']
['3058468', '22', '121']
['3058482', '22', '121']
['3058489', '22', '121']
['3058504', '22', '121']
['3058511', '22', '121']
['3058518', '22', '121']
['3058532', '22', '121']
['3058540', '22', '121']
['3058554', '22', '121']
['3058561', '21', '121']
['3058568', '21', '121']
['3058583', '21', '120']
['3058590', '21', '120']
['3058604', '21', '121']
['3058612', '21', '121']
['3058619', '21', '121']
['3058633', '21', '121']
['3058640', '21', '121']
['3058655', '21', '121']
['3058662', '21', '121']
['3058669', '21', '121']
['3058684', '21', '121']
['3058691', '21', '121']
['3058705', '21', '121']
['3058712', '21', '121']
['3058719', '20', '121']
['3058734', '20', '121']
['3058741', '20', '121']
['3058755', '20', '121']
['3058763', '20', '121']
['3058770', '20', '121']
['3058784', '20', '121']
['3058791', '20', '121']
['3058806', '20', '121']
['3058813', '20', '121']
['3058820', '20', '121']
['3058835', '20', '121']
['3058842', '20', '121']
['3058856', '21', '121']
['3058863', '21', '121']
['3058870', '21', '121']
['3058885', '21', '121']
['3058892', '21', '121']
['3058907', '21', '121']
['3058914', '21', '120']
['3058921', '21', '120']
['3058935', '21', '120']
['3058942', '21', '120']
['3058950', '21', '120']
['3058964', '21', '120']
['3058971', '21', '120']
['3058986', '21', '120']
['3058993', '21', '120']
['3059000', '21', '120']
['3059014', '21', '120']
['3059022', '21', '120']
['3059036', '22', '120']
['3059043', '22', '120']
['3059050', '22', '120']
['3059065', '22', '120']
['3059072', '22', '120']
['3059086', '22', '120']
['3059093', '22', '120']
['3059101', '22', '120']
['3059115', '22', '120']
