Time:1662106366.3628714; +MPOS:74521990,-19,125,0,0,0
Time:1662106366.3700135; +MPOS:74521998,-18,125,0,0,0
Time:1662106366.3771677; +MPOS:74522005,-18,125,0,0,0
Time:1662106366.3891327; +MPOS:74522017,-18,125,0,0,0
Time:1662106366.3963418; +MPOS:74522024,-18,125,0,0,0
Time:1662106366.4035013; +MPOS:74522031,-18,125,0,0,0
Time:1662106366.410702; +MPOS:74522038,-18,125,0,0,0
Time:1662106366.4226036; +MPOS:74522050,-18,125,0,0,0
Time:1662106366.429819; +MPOS:74522058,-18,125,0,0,0
Time:1662106366.4369624; +MPOS:74522065,-18,125,0,0,0
Time:1662106366.4440825; +MPOS:74522072,-18,125,0,0,0
Time:1662106366.4560509; +MPOS:74522084,-18,125,0,0,0
Time:1662106366.4633114; +MPOS:74522091,-18,125,0,0,0
Time:1662106366.4704096; +MPOS:74522098,-18,125,0,0,0
Time:1662106366.4775786; +MPOS:74522106,-18,125,0,0,0
Time:1662106366.4895415; +MPOS:74522118,-18,124,0,0,0
Time:1662106366.4967396; +MPOS:74522125,-18,124,0,0,0
Time:1662106366.503895; +MPOS:74522132,-18,124,0,0,0
Time:1662106366.5110176; +MPOS:74522139,-17,124,0,0,0
Time:1662106366.5229862; +MPOS:74522151,-17,124,0,0,0
Time:1662106366.530218; +MPOS:74522158,-17,124,0,0,0
Time:1662106366.5373714; +MPOS:74522166,-17,125,0,0,0
Time:1662106366.5444863; +MPOS:74522173,-17,125,0,0,0
Time:1662106366.5564375; +MPOS:74522185,-17,125,0,0,0
Time:1662106366.5636547; +MPOS:74522192,-17,125,0,0,0
Time:1662106366.57079; +MPOS:74522199,-17,125,0,0,0
Time:1662106366.5779712; +MPOS:74522206,-17,125,0,0,0
Time:1662106366.5898924; +MPOS:74522218,-18,125,0,0,0
Time:1662106366.5971038; +MPOS:74522226,-18,125,0,0,0
Time:1662106366.604275; +MPOS:74522233,-18,125,0,0,0
Time:1662106366.6113956; +MPOS:74522240,-18,125,0,0,0
Time:1662106366.6233733; +MPOS:74522252,-18,125,0,0,0
Time:1662106366.6306026; +MPOS:74522259,-18,125,0,0,0
Time:1662106366.6377864; +MPOS:74522266,-18,125,0,0,0
Time:1662106366.6448703; +MPOS:74522274,-18,125,0,0,0
